title,ref
 映画 ビリギャル (2015),/movie/%E6%98%A0%E7%94%BB+%E3%83%93%E3%83%AA%E3%82%AE%E3%83%A3%E3%83%AB/351029/
 ちはやふる -上の句- (2016),/movie/%E3%81%A1%E3%81%AF%E3%82%84%E3%81%B5%E3%82%8B+-%E4%B8%8A%E3%81%AE%E5%8F%A5-/354163/
 ゼロ・グラビティ (2013),/movie/%E3%82%BC%E3%83%AD%E3%83%BB%E3%82%B0%E3%83%A9%E3%83%93%E3%83%86%E3%82%A3/346608/
 ALWAYS　三丁目の夕日 (2005),/movie/ALWAYS%E3%80%80%E4%B8%89%E4%B8%81%E7%9B%AE%E3%81%AE%E5%A4%95%E6%97%A5/322281/
[PG-12]  進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド (2015),/movie/%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA+ATTACK+ON+TITAN+%E3%82%A8%E3%83%B3%E3%83%89+%E3%82%AA%E3%83%96+%E3%82%B6+%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89/350818/
 サマーウォーズ (2009),/movie/%E3%82%B5%E3%83%9E%E3%83%BC%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BA/333497/
 ギャラクシー街道 (2015),/movie/%E3%82%AE%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%B7%E3%83%BC%E8%A1%97%E9%81%93/352648/
 レ・ミゼラブル (2012),/movie/%E3%83%AC%E3%83%BB%E3%83%9F%E3%82%BC%E3%83%A9%E3%83%96%E3%83%AB/342984/
[R-15]  ゴーン・ガール (2014),/movie/%E3%82%B4%E3%83%BC%E3%83%B3%E3%83%BB%E3%82%AC%E3%83%BC%E3%83%AB/350277/
 借りぐらしのアリエッティ (2010),/movie/%E5%80%9F%E3%82%8A%E3%81%90%E3%82%89%E3%81%97%E3%81%AE%E3%82%A2%E3%83%AA%E3%82%A8%E3%83%83%E3%83%86%E3%82%A3/335800/
 バットマン vs スーパーマン　ジャスティスの誕生 (2016),/movie/%E3%83%90%E3%83%83%E3%83%88%E3%83%9E%E3%83%B3+vs+%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%B3%E3%80%80%E3%82%B8%E3%83%A3%E3%82%B9%E3%83%86%E3%82%A3%E3%82%B9%E3%81%AE%E8%AA%95%E7%94%9F/353277/
[R-15]  アメリカン・スナイパー (2014),/movie/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%8A%E3%82%A4%E3%83%91%E3%83%BC/350823/
 ガールズ＆パンツァー　劇場版 (2015),/movie/%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%EF%BC%86%E3%83%91%E3%83%B3%E3%83%84%E3%82%A1%E3%83%BC%E3%80%80%E5%8A%87%E5%A0%B4%E7%89%88/351822/
 イニシエーション・ラブ (2015),/movie/%E3%82%A4%E3%83%8B%E3%82%B7%E3%82%A8%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%A9%E3%83%96/351031/
 アベンジャーズ／エイジ・オブ・ウルトロン (2015),/movie/%E3%82%A2%E3%83%99%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%BA%EF%BC%8F%E3%82%A8%E3%82%A4%E3%82%B8%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A6%E3%83%AB%E3%83%88%E3%83%AD%E3%83%B3/352157/
 シンデレラ (2015),/movie/%E3%82%B7%E3%83%B3%E3%83%87%E3%83%AC%E3%83%A9/350870/
 予告犯 (2015),/movie/%E4%BA%88%E5%91%8A%E7%8A%AF/351032/
 インデペンデンス・デイ：リサージェンス (2016),/movie/%E3%82%A4%E3%83%B3%E3%83%87%E3%83%9A%E3%83%B3%E3%83%87%E3%83%B3%E3%82%B9%E3%83%BB%E3%83%87%E3%82%A4%EF%BC%9A%E3%83%AA%E3%82%B5%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%82%B9/355228/
 TOO YOUNG TO DIE！若くして死ぬ (2016),/movie/TOO+YOUNG+TO+DIE%EF%BC%81%E8%8B%A5%E3%81%8F%E3%81%97%E3%81%A6%E6%AD%BB%E3%81%AC/353813/
 orange－オレンジ－ (2015),/movie/orange%EF%BC%8D%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%EF%BC%8D/353452/
[R-15]  デッドプール (2016),/movie/%E3%83%87%E3%83%83%E3%83%89%E3%83%97%E3%83%BC%E3%83%AB/355574/
 マイケル・ジャクソン THIS IS IT (2009),/movie/%E3%83%9E%E3%82%A4%E3%82%B1%E3%83%AB%E3%83%BB%E3%82%B8%E3%83%A3%E3%82%AF%E3%82%BD%E3%83%B3+THIS+IS+IT/334766/
 フラガール (2006),/movie/%E3%83%95%E3%83%A9%E3%82%AC%E3%83%BC%E3%83%AB/324255/
 ショーシャンクの空に (1994),/movie/%E3%82%B7%E3%83%A7%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%B3%E3%82%AF%E3%81%AE%E7%A9%BA%E3%81%AB/10909/
 容疑者Xの献身 (2008),/movie/%E5%AE%B9%E7%96%91%E8%80%85X%E3%81%AE%E7%8C%AE%E8%BA%AB/330418/
 ヒロイン失格 (2015),/movie/%E3%83%92%E3%83%AD%E3%82%A4%E3%83%B3%E5%A4%B1%E6%A0%BC/352156/
 おおかみこどもの雨と雪 (2012),/movie/%E3%81%8A%E3%81%8A%E3%81%8B%E3%81%BF%E3%81%93%E3%81%A9%E3%82%82%E3%81%AE%E9%9B%A8%E3%81%A8%E9%9B%AA/341770/
 天空の蜂 (2015),/movie/%E5%A4%A9%E7%A9%BA%E3%81%AE%E8%9C%82/351635/
 パイレーツ・オブ・カリビアン／ワールド・エンド (2007),/movie/%E3%83%91%E3%82%A4%E3%83%AC%E3%83%BC%E3%83%84%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%AB%E3%83%AA%E3%83%93%E3%82%A2%E3%83%B3%EF%BC%8F%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%A8%E3%83%B3%E3%83%89/326744/
 思い出のマーニー (2014),/movie/%E6%80%9D%E3%81%84%E5%87%BA%E3%81%AE%E3%83%9E%E3%83%BC%E3%83%8B%E3%83%BC/348091/
 恋空 (2007),/movie/%E6%81%8B%E7%A9%BA/328125/
 ヱヴァンゲリヲン新劇場版：Q (2012),/movie/%E3%83%B1%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%B2%E3%83%AA%E3%83%B2%E3%83%B3%E6%96%B0%E5%8A%87%E5%A0%B4%E7%89%88%EF%BC%9AQ/343233/
[R-15]  レヴェナント：蘇えりし者 (2015),/movie/%E3%83%AC%E3%83%B4%E3%82%A7%E3%83%8A%E3%83%B3%E3%83%88%EF%BC%9A%E8%98%87%E3%81%88%E3%82%8A%E3%81%97%E8%80%85/354289/
 大日本人 (2007),/movie/%E5%A4%A7%E6%97%A5%E6%9C%AC%E4%BA%BA/327082/
[PG-12]  バベル (2006),/movie/%E3%83%90%E3%83%99%E3%83%AB/325136/
 植物図鑑　運命の恋、ひろいました (2015),/movie/%E6%A4%8D%E7%89%A9%E5%9B%B3%E9%91%91%E3%80%80%E9%81%8B%E5%91%BD%E3%81%AE%E6%81%8B%E3%80%81%E3%81%B2%E3%82%8D%E3%81%84%E3%81%BE%E3%81%97%E3%81%9F/353489/
 かぐや姫の物語 (2013),/movie/%E3%81%8B%E3%81%90%E3%82%84%E5%A7%AB%E3%81%AE%E7%89%A9%E8%AA%9E/344585/
